# hebrew versification -> KJV standard; single-verse diffs only (identity elsewhere). Source: STEPBible TVTMS (CC-BY). shoresh versification.build
source_ref	standard_ref	action
GEN 32:7	GEN 32:6	Renumber verse
GEN 32:8	GEN 32:7	Renumber verse
GEN 32:9	GEN 32:8	Renumber verse
HOS 12:1	HOS 11:12	Renumber verse
HOS 12:10	HOS 12:9	Renumber verse
HOS 12:11	HOS 12:10	Renumber verse
HOS 12:12	HOS 12:11	Renumber verse
HOS 12:13	HOS 12:12	Renumber verse
HOS 12:14	HOS 12:13	Renumber verse
HOS 12:15	HOS 12:14	Renumber verse
HOS 12:2	HOS 12:1	Renumber verse
HOS 12:3	HOS 12:2	Renumber verse
HOS 12:4	HOS 12:3	Renumber verse
HOS 12:5	HOS 12:4	Renumber verse
HOS 12:6	HOS 12:5	Renumber verse
HOS 12:7	HOS 12:6	Renumber verse
HOS 12:8	HOS 12:7	Renumber verse
HOS 12:9	HOS 12:8	Renumber verse
HOS 14:1	HOS 13:16	Renumber verse
HOS 14:10	HOS 14:9	Renumber verse
HOS 14:2	HOS 14:1	Renumber verse
HOS 14:3	HOS 14:2	Renumber verse
HOS 14:4	HOS 14:3	Renumber verse
HOS 14:5	HOS 14:4	Renumber verse
HOS 14:6	HOS 14:5	Renumber verse
HOS 14:7	HOS 14:6	Renumber verse
HOS 14:8	HOS 14:7	Renumber verse
HOS 14:9	HOS 14:8	Renumber verse
HOS 2:1	HOS 1:10	Renumber verse
HOS 2:10	HOS 2:8	Renumber verse
HOS 2:11	HOS 2:9	Renumber verse
HOS 2:12	HOS 2:10	Renumber verse
HOS 2:13	HOS 2:11	Renumber verse
HOS 2:14	HOS 2:12	Renumber verse
HOS 2:15	HOS 2:13	Renumber verse
HOS 2:16	HOS 2:14	Renumber verse
HOS 2:17	HOS 2:15	Renumber verse
HOS 2:18	HOS 2:16	Renumber verse
HOS 2:19	HOS 2:17	Renumber verse
HOS 2:2	HOS 1:11	Renumber verse
HOS 2:20	HOS 2:18	Renumber verse
HOS 2:21	HOS 2:19	Renumber verse
HOS 2:22	HOS 2:20	Renumber verse
HOS 2:23	HOS 2:21	Renumber verse
HOS 2:24	HOS 2:22	Renumber verse
HOS 2:25	HOS 2:23	Renumber verse
HOS 2:3	HOS 2:1	Renumber verse
HOS 2:4	HOS 2:2	Renumber verse
HOS 2:5	HOS 2:3	Renumber verse
HOS 2:6	HOS 2:4	Renumber verse
HOS 2:7	HOS 2:5	Renumber verse
HOS 2:8	HOS 2:6	Renumber verse
HOS 2:9	HOS 2:7	Renumber verse
ISA 64:1	ISA 64:2	Renumber verse
ISA 64:10	ISA 64:11	Renumber verse
ISA 64:11	ISA 64:12	Renumber verse
ISA 64:2	ISA 64:3	Renumber verse
ISA 64:3	ISA 64:4	Renumber verse
ISA 64:4	ISA 64:5	Renumber verse
ISA 64:5	ISA 64:6	Renumber verse
ISA 64:6	ISA 64:7	Renumber verse
ISA 64:7	ISA 64:8	Renumber verse
ISA 64:8	ISA 64:9	Renumber verse
ISA 64:9	ISA 64:10	Renumber verse
ISA 8:23	ISA 9:1	Renumber verse
ISA 9:1	ISA 9:2	Renumber verse
ISA 9:10	ISA 9:11	Renumber verse
ISA 9:11	ISA 9:12	Renumber verse
ISA 9:12	ISA 9:13	Renumber verse
ISA 9:13	ISA 9:14	Renumber verse
ISA 9:14	ISA 9:15	Renumber verse
ISA 9:15	ISA 9:16	Renumber verse
ISA 9:16	ISA 9:17	Renumber verse
ISA 9:17	ISA 9:18	Renumber verse
ISA 9:18	ISA 9:19	Renumber verse
ISA 9:19	ISA 9:20	Renumber verse
ISA 9:2	ISA 9:3	Renumber verse
ISA 9:20	ISA 9:21	Renumber verse
ISA 9:3	ISA 9:4	Renumber verse
ISA 9:4	ISA 9:5	Renumber verse
ISA 9:5	ISA 9:6	Renumber verse
ISA 9:6	ISA 9:7	Renumber verse
ISA 9:7	ISA 9:8	Renumber verse
ISA 9:8	ISA 9:9	Renumber verse
ISA 9:9	ISA 9:10	Renumber verse
JER 8:23	JER 9:1	Renumber verse
JER 9:1	JER 9:2	Renumber verse
JER 9:10	JER 9:11	Renumber verse
JER 9:11	JER 9:12	Renumber verse
JER 9:12	JER 9:13	Renumber verse
JER 9:13	JER 9:14	Renumber verse
JER 9:14	JER 9:15	Renumber verse
JER 9:15	JER 9:16	Renumber verse
JER 9:16	JER 9:17	Renumber verse
JER 9:17	JER 9:18	Renumber verse
JER 9:18	JER 9:19	Renumber verse
JER 9:19	JER 9:20	Renumber verse
JER 9:2	JER 9:3	Renumber verse
JER 9:20	JER 9:21	Renumber verse
JER 9:21	JER 9:22	Renumber verse
JER 9:22	JER 9:23	Renumber verse
JER 9:23	JER 9:24	Renumber verse
JER 9:24	JER 9:25	Renumber verse
JER 9:25	JER 9:26	Renumber verse
JER 9:3	JER 9:4	Renumber verse
JER 9:4	JER 9:5	Renumber verse
JER 9:5	JER 9:6	Renumber verse
JER 9:6	JER 9:7	Renumber verse
JER 9:7	JER 9:8	Renumber verse
JER 9:8	JER 9:9	Renumber verse
JER 9:9	JER 9:10	Renumber verse
JOB 40:25	JOB 41:1	Renumber verse
JOB 40:26	JOB 41:2	Renumber verse
JOB 40:27	JOB 41:3	Renumber verse
JOB 40:28	JOB 41:4	Renumber verse
JOB 40:29	JOB 41:5	Renumber verse
JOB 40:30	JOB 41:6	Renumber verse
JOB 40:31	JOB 41:7	Renumber verse
JOB 40:32	JOB 41:8	Renumber verse
JOB 41:1	JOB 41:9	Renumber verse
JOB 41:10	JOB 41:18	Renumber verse
JOB 41:11	JOB 41:19	Renumber verse
JOB 41:12	JOB 41:20	Renumber verse
JOB 41:13	JOB 41:21	Renumber verse
JOB 41:14	JOB 41:22	Renumber verse
JOB 41:15	JOB 41:23	Renumber verse
JOB 41:16	JOB 41:24	Renumber verse
JOB 41:17	JOB 41:25	Renumber verse
JOB 41:18	JOB 41:26	Renumber verse
JOB 41:19	JOB 41:27	Renumber verse
JOB 41:2	JOB 41:10	Renumber verse
JOB 41:20	JOB 41:28	Renumber verse
JOB 41:21	JOB 41:29	Renumber verse
JOB 41:22	JOB 41:30	Renumber verse
JOB 41:23	JOB 41:31	Renumber verse
JOB 41:24	JOB 41:32	Renumber verse
JOB 41:25	JOB 41:33	Renumber verse
JOB 41:26	JOB 41:34	Renumber verse
JOB 41:3	JOB 41:11	Renumber verse
JOB 41:4	JOB 41:12	Renumber verse
JOB 41:5	JOB 41:13	Renumber verse
JOB 41:6	JOB 41:14	Renumber verse
JOB 41:7	JOB 41:15	Renumber verse
JOB 41:8	JOB 41:16	Renumber verse
JOB 41:9	JOB 41:17	Renumber verse
JOL 3:1	JOL 2:28	Renumber verse
JOL 3:2	JOL 2:29	Renumber verse
JOL 3:3	JOL 2:30	Renumber verse
JOL 3:4	JOL 2:31	Renumber verse
JOL 3:5	JOL 2:32	Renumber verse
JOL 4:1	JOL 3:1	Renumber verse
JOL 4:10	JOL 3:10	Renumber verse
JOL 4:11	JOL 3:11	Renumber verse
JOL 4:12	JOL 3:12	Renumber verse
JOL 4:13	JOL 3:13	Renumber verse
JOL 4:14	JOL 3:14	Renumber verse
JOL 4:15	JOL 3:15	Renumber verse
JOL 4:16	JOL 3:16	Renumber verse
JOL 4:17	JOL 3:17	Renumber verse
JOL 4:18	JOL 3:18	Renumber verse
JOL 4:19	JOL 3:19	Renumber verse
JOL 4:2	JOL 3:2	Renumber verse
JOL 4:20	JOL 3:20	Renumber verse
JOL 4:21	JOL 3:21	Renumber verse
JOL 4:3	JOL 3:3	Renumber verse
JOL 4:4	JOL 3:4	Renumber verse
JOL 4:5	JOL 3:5	Renumber verse
JOL 4:6	JOL 3:6	Renumber verse
JOL 4:7	JOL 3:7	Renumber verse
JOL 4:8	JOL 3:8	Renumber verse
JOL 4:9	JOL 3:9	Renumber verse
JON 2:1	JON 1:17	Renumber verse
JON 2:10	JON 2:9	Renumber verse
JON 2:11	JON 2:10	Renumber verse
JON 2:2	JON 2:1	Renumber verse
JON 2:3	JON 2:2	Renumber verse
JON 2:4	JON 2:3	Renumber verse
JON 2:5	JON 2:4	Renumber verse
JON 2:6	JON 2:5	Renumber verse
JON 2:7	JON 2:6	Renumber verse
JON 2:8	JON 2:7	Renumber verse
JON 2:9	JON 2:8	Renumber verse
LEV 5:20	LEV 6:1	Renumber verse
LEV 5:21	LEV 6:2	Renumber verse
LEV 5:22	LEV 6:3	Renumber verse
LEV 5:23	LEV 6:4	Renumber verse
LEV 5:24	LEV 6:5	Renumber verse
LEV 5:25	LEV 6:6	Renumber verse
LEV 5:26	LEV 6:7	Renumber verse
LEV 6:1	LEV 6:8	Renumber verse
LEV 6:10	LEV 6:17	Renumber verse
LEV 6:11	LEV 6:18	Renumber verse
LEV 6:12	LEV 6:19	Renumber verse
LEV 6:13	LEV 6:20	Renumber verse
LEV 6:14	LEV 6:21	Renumber verse
LEV 6:15	LEV 6:22	Renumber verse
LEV 6:16	LEV 6:23	Renumber verse
LEV 6:17	LEV 6:24	Renumber verse
LEV 6:18	LEV 6:25	Renumber verse
LEV 6:19	LEV 6:26	Renumber verse
LEV 6:2	LEV 6:9	Renumber verse
LEV 6:20	LEV 6:27	Renumber verse
LEV 6:21	LEV 6:28	Renumber verse
LEV 6:22	LEV 6:29	Renumber verse
LEV 6:23	LEV 6:30	Renumber verse
LEV 6:3	LEV 6:10	Renumber verse
LEV 6:4	LEV 6:11	Renumber verse
LEV 6:5	LEV 6:12	Renumber verse
LEV 6:6	LEV 6:13	Renumber verse
LEV 6:7	LEV 6:14	Renumber verse
LEV 6:8	LEV 6:15	Renumber verse
LEV 6:9	LEV 6:16	Renumber verse
MAL 3:19	MAL 4:1	Renumber verse
MAL 3:20	MAL 4:2	Renumber verse
MAL 3:21	MAL 4:3	Renumber verse
MAL 3:22	MAL 4:4	Renumber verse
MAL 3:23	MAL 4:5	Renumber verse
MAL 3:24	MAL 4:6	Renumber verse
MIC 4:14	MIC 5:1	Renumber verse
MIC 5:1	MIC 5:2	Renumber verse
MIC 5:10	MIC 5:11	Renumber verse
MIC 5:11	MIC 5:12	Renumber verse
MIC 5:12	MIC 5:13	Renumber verse
MIC 5:13	MIC 5:14	Renumber verse
MIC 5:14	MIC 5:15	Renumber verse
MIC 5:2	MIC 5:3	Renumber verse
MIC 5:3	MIC 5:4	Renumber verse
MIC 5:4	MIC 5:5	Renumber verse
MIC 5:5	MIC 5:6	Renumber verse
MIC 5:6	MIC 5:7	Renumber verse
MIC 5:7	MIC 5:8	Renumber verse
MIC 5:8	MIC 5:9	Renumber verse
MIC 5:9	MIC 5:10	Renumber verse
NAM 2:1	NAM 1:15	Renumber verse
NAM 2:10	NAM 2:9	Renumber verse
NAM 2:11	NAM 2:10	Renumber verse
NAM 2:12	NAM 2:11	Renumber verse
NAM 2:13	NAM 2:12	Renumber verse
NAM 2:14	NAM 2:13	Renumber verse
NAM 2:2	NAM 2:1	Renumber verse
NAM 2:3	NAM 2:2	Renumber verse
NAM 2:4	NAM 2:3	Renumber verse
NAM 2:5	NAM 2:4	Renumber verse
NAM 2:6	NAM 2:5	Renumber verse
NAM 2:7	NAM 2:6	Renumber verse
NAM 2:8	NAM 2:7	Renumber verse
NAM 2:9	NAM 2:8	Renumber verse
NEH 10:1	NEH 9:38	Renumber verse
NEH 10:10	NEH 10:9	Renumber verse
NEH 10:11	NEH 10:10	Renumber verse
NEH 10:12	NEH 10:11	Renumber verse
NEH 10:13	NEH 10:12	Renumber verse
NEH 10:14	NEH 10:13	Renumber verse
NEH 10:15	NEH 10:14	Renumber verse
NEH 10:16	NEH 10:15	Renumber verse
NEH 10:17	NEH 10:16	Renumber verse
NEH 10:18	NEH 10:17	Renumber verse
NEH 10:19	NEH 10:18	Renumber verse
NEH 10:2	NEH 10:1	Renumber verse
NEH 10:20	NEH 10:19	Renumber verse
NEH 10:21	NEH 10:20	Renumber verse
NEH 10:22	NEH 10:21	Renumber verse
NEH 10:23	NEH 10:22	Renumber verse
NEH 10:24	NEH 10:23	Renumber verse
NEH 10:25	NEH 10:24	Renumber verse
NEH 10:26	NEH 10:25	Renumber verse
NEH 10:27	NEH 10:26	Renumber verse
NEH 10:28	NEH 10:27	Renumber verse
NEH 10:29	NEH 10:28	Renumber verse
NEH 10:3	NEH 10:2	Renumber verse
NEH 10:30	NEH 10:29	Renumber verse
NEH 10:31	NEH 10:30	Renumber verse
NEH 10:32	NEH 10:31	Renumber verse
NEH 10:33	NEH 10:32	Renumber verse
NEH 10:34	NEH 10:33	Renumber verse
NEH 10:35	NEH 10:34	Renumber verse
NEH 10:36	NEH 10:35	Renumber verse
NEH 10:37	NEH 10:36	Renumber verse
NEH 10:38	NEH 10:37	Renumber verse
NEH 10:39	NEH 10:38	Renumber verse
NEH 10:4	NEH 10:3	Renumber verse
NEH 10:40	NEH 10:39	Renumber verse
NEH 10:5	NEH 10:4	Renumber verse
NEH 10:6	NEH 10:5	Renumber verse
NEH 10:7	NEH 10:6	Renumber verse
NEH 10:8	NEH 10:7	Renumber verse
NEH 10:9	NEH 10:8	Renumber verse
NEH 3:33	NEH 4:1	Renumber verse
NEH 3:34	NEH 4:2	Renumber verse
NEH 3:35	NEH 4:3	Renumber verse
NEH 3:36	NEH 4:4	Renumber verse
NEH 3:37	NEH 4:5	Renumber verse
NEH 3:38	NEH 4:6	Renumber verse
NEH 4:1	NEH 4:7	Renumber verse
NEH 4:10	NEH 4:16	Renumber verse
NEH 4:11	NEH 4:17	Renumber verse
NEH 4:12	NEH 4:18	Renumber verse
NEH 4:13	NEH 4:19	Renumber verse
NEH 4:14	NEH 4:20	Renumber verse
NEH 4:15	NEH 4:21	Renumber verse
NEH 4:16	NEH 4:22	Renumber verse
NEH 4:17	NEH 4:23	Renumber verse
NEH 4:2	NEH 4:8	Renumber verse
NEH 4:3	NEH 4:9	Renumber verse
NEH 4:4	NEH 4:10	Renumber verse
NEH 4:5	NEH 4:11	Renumber verse
NEH 4:6	NEH 4:12	Renumber verse
NEH 4:7	NEH 4:13	Renumber verse
NEH 4:8	NEH 4:14	Renumber verse
NEH 4:9	NEH 4:15	Renumber verse
NEH 7:68	NEH 7:69	Renumber verse
NEH 7:69	NEH 7:70	Renumber verse
NEH 7:70	NEH 7:71	Renumber verse
NEH 7:71	NEH 7:72	Renumber verse
NEH 7:72	NEH 7:73	Renumber verse
NUM 17:1	NUM 16:36	Renumber verse
NUM 17:10	NUM 16:45	Renumber verse
NUM 17:11	NUM 16:46	Renumber verse
NUM 17:12	NUM 16:47	Renumber verse
NUM 17:13	NUM 16:48	Renumber verse
NUM 17:14	NUM 16:49	Renumber verse
NUM 17:15	NUM 16:50	Renumber verse
NUM 17:16	NUM 17:1	Renumber verse
NUM 17:17	NUM 17:2	Renumber verse
NUM 17:18	NUM 17:3	Renumber verse
NUM 17:19	NUM 17:4	Renumber verse
NUM 17:2	NUM 16:37	Renumber verse
NUM 17:20	NUM 17:5	Renumber verse
NUM 17:21	NUM 17:6	Renumber verse
NUM 17:22	NUM 17:7	Renumber verse
NUM 17:23	NUM 17:8	Renumber verse
NUM 17:24	NUM 17:9	Renumber verse
NUM 17:25	NUM 17:10	Renumber verse
NUM 17:26	NUM 17:11	Renumber verse
NUM 17:27	NUM 17:12	Renumber verse
NUM 17:28	NUM 17:13	Renumber verse
NUM 17:3	NUM 16:38	Renumber verse
NUM 17:4	NUM 16:39	Renumber verse
NUM 17:5	NUM 16:40	Renumber verse
NUM 17:6	NUM 16:41	Renumber verse
NUM 17:7	NUM 16:42	Renumber verse
NUM 17:8	NUM 16:43	Renumber verse
NUM 17:9	NUM 16:44	Renumber verse
NUM 30:1	NUM 29:40	Renumber verse
NUM 30:10	NUM 30:9	Renumber verse
NUM 30:11	NUM 30:10	Renumber verse
NUM 30:12	NUM 30:11	Renumber verse
NUM 30:13	NUM 30:12	Renumber verse
NUM 30:14	NUM 30:13	Renumber verse
NUM 30:15	NUM 30:14	Renumber verse
NUM 30:16	NUM 30:15	Renumber verse
NUM 30:17	NUM 30:16	Renumber verse
NUM 30:2	NUM 30:1	Renumber verse
NUM 30:3	NUM 30:2	Renumber verse
NUM 30:4	NUM 30:3	Renumber verse
NUM 30:5	NUM 30:4	Renumber verse
NUM 30:6	NUM 30:5	Renumber verse
NUM 30:7	NUM 30:6	Renumber verse
NUM 30:8	NUM 30:7	Renumber verse
NUM 30:9	NUM 30:8	Renumber verse
PSA 102:1	PSA 102:title	Renumber title
PSA 102:10	PSA 102:9	Renumber verse
PSA 102:11	PSA 102:10	Renumber verse
PSA 102:12	PSA 102:11	Renumber verse
PSA 102:13	PSA 102:12	Renumber verse
PSA 102:14	PSA 102:13	Renumber verse
PSA 102:15	PSA 102:14	Renumber verse
PSA 102:16	PSA 102:15	Renumber verse
PSA 102:17	PSA 102:16	Renumber verse
PSA 102:18	PSA 102:17	Renumber verse
PSA 102:19	PSA 102:18	Renumber verse
PSA 102:2	PSA 102:1	Renumber verse
PSA 102:20	PSA 102:19	Renumber verse
PSA 102:21	PSA 102:20	Renumber verse
PSA 102:22	PSA 102:21	Renumber verse
PSA 102:23	PSA 102:22	Renumber verse
PSA 102:24	PSA 102:23	Renumber verse
PSA 102:25	PSA 102:24	Renumber verse
PSA 102:26	PSA 102:25	Renumber verse
PSA 102:27	PSA 102:26	Renumber verse
PSA 102:28	PSA 102:27	Renumber verse
PSA 102:29	PSA 102:28	Renumber verse
PSA 102:3	PSA 102:2	Renumber verse
PSA 102:4	PSA 102:3	Renumber verse
PSA 102:5	PSA 102:4	Renumber verse
PSA 102:6	PSA 102:5	Renumber verse
PSA 102:7	PSA 102:6	Renumber verse
PSA 102:8	PSA 102:7	Renumber verse
PSA 102:9	PSA 102:8	Renumber verse
PSA 108:1	PSA 108:title	Renumber title
PSA 108:10	PSA 108:9	Renumber verse
PSA 108:11	PSA 108:10	Renumber verse
PSA 108:12	PSA 108:11	Renumber verse
PSA 108:13	PSA 108:12	Renumber verse
PSA 108:14	PSA 108:13	Renumber verse
PSA 108:2	PSA 108:1	Renumber verse
PSA 108:3	PSA 108:2	Renumber verse
PSA 108:4	PSA 108:3	Renumber verse
PSA 108:5	PSA 108:4	Renumber verse
PSA 108:6	PSA 108:5	Renumber verse
PSA 108:7	PSA 108:6	Renumber verse
PSA 108:8	PSA 108:7	Renumber verse
PSA 108:9	PSA 108:8	Renumber verse
PSA 12:1	PSA 12:title	Renumber title
PSA 12:2	PSA 12:1	Renumber verse
PSA 12:3	PSA 12:2	Renumber verse
PSA 12:4	PSA 12:3	Renumber verse
PSA 12:5	PSA 12:4	Renumber verse
PSA 12:6	PSA 12:5	Renumber verse
PSA 12:7	PSA 12:6	Renumber verse
PSA 12:8	PSA 12:7	Renumber verse
PSA 12:9	PSA 12:8	Renumber verse
PSA 13:1	PSA 13:title	Renumber title
PSA 13:2	PSA 13:1	Renumber verse
PSA 13:3	PSA 13:2	Renumber verse
PSA 13:4	PSA 13:3	Renumber verse
PSA 13:5	PSA 13:4	Renumber verse
PSA 140:1	PSA 140:title	Renumber title
PSA 140:10	PSA 140:9	Renumber verse
PSA 140:11	PSA 140:10	Renumber verse
PSA 140:12	PSA 140:11	Renumber verse
PSA 140:13	PSA 140:12	Renumber verse
PSA 140:14	PSA 140:13	Renumber verse
PSA 140:2	PSA 140:1	Renumber verse
PSA 140:3	PSA 140:2	Renumber verse
PSA 140:4	PSA 140:3	Renumber verse
PSA 140:5	PSA 140:4	Renumber verse
PSA 140:6	PSA 140:5	Renumber verse
PSA 140:7	PSA 140:6	Renumber verse
PSA 140:8	PSA 140:7	Renumber verse
PSA 140:9	PSA 140:8	Renumber verse
PSA 142:1	PSA 142:title	Renumber title
PSA 142:2	PSA 142:1	Renumber verse
PSA 142:3	PSA 142:2	Renumber verse
PSA 142:4	PSA 142:3	Renumber verse
PSA 142:5	PSA 142:4	Renumber verse
PSA 142:6	PSA 142:5	Renumber verse
PSA 142:7	PSA 142:6	Renumber verse
PSA 142:8	PSA 142:7	Renumber verse
PSA 18:1	PSA 18:title	Renumber title
PSA 18:10	PSA 18:9	Renumber verse
PSA 18:11	PSA 18:10	Renumber verse
PSA 18:12	PSA 18:11	Renumber verse
PSA 18:13	PSA 18:12	Renumber verse
PSA 18:14	PSA 18:13	Renumber verse
PSA 18:15	PSA 18:14	Renumber verse
PSA 18:16	PSA 18:15	Renumber verse
PSA 18:17	PSA 18:16	Renumber verse
PSA 18:18	PSA 18:17	Renumber verse
PSA 18:19	PSA 18:18	Renumber verse
PSA 18:2	PSA 18:1	Renumber verse
PSA 18:20	PSA 18:19	Renumber verse
PSA 18:21	PSA 18:20	Renumber verse
PSA 18:22	PSA 18:21	Renumber verse
PSA 18:23	PSA 18:22	Renumber verse
PSA 18:24	PSA 18:23	Renumber verse
PSA 18:25	PSA 18:24	Renumber verse
PSA 18:26	PSA 18:25	Renumber verse
PSA 18:27	PSA 18:26	Renumber verse
PSA 18:28	PSA 18:27	Renumber verse
PSA 18:29	PSA 18:28	Renumber verse
PSA 18:3	PSA 18:2	Renumber verse
PSA 18:30	PSA 18:29	Renumber verse
PSA 18:31	PSA 18:30	Renumber verse
PSA 18:32	PSA 18:31	Renumber verse
PSA 18:33	PSA 18:32	Renumber verse
PSA 18:34	PSA 18:33	Renumber verse
PSA 18:35	PSA 18:34	Renumber verse
PSA 18:36	PSA 18:35	Renumber verse
PSA 18:37	PSA 18:36	Renumber verse
PSA 18:38	PSA 18:37	Renumber verse
PSA 18:39	PSA 18:38	Renumber verse
PSA 18:4	PSA 18:3	Renumber verse
PSA 18:40	PSA 18:39	Renumber verse
PSA 18:41	PSA 18:40	Renumber verse
PSA 18:42	PSA 18:41	Renumber verse
PSA 18:43	PSA 18:42	Renumber verse
PSA 18:44	PSA 18:43	Renumber verse
PSA 18:45	PSA 18:44	Renumber verse
PSA 18:46	PSA 18:45	Renumber verse
PSA 18:47	PSA 18:46	Renumber verse
PSA 18:48	PSA 18:47	Renumber verse
PSA 18:49	PSA 18:48	Renumber verse
PSA 18:5	PSA 18:4	Renumber verse
PSA 18:50	PSA 18:49	Renumber verse
PSA 18:51	PSA 18:50	Renumber verse
PSA 18:6	PSA 18:5	Renumber verse
PSA 18:7	PSA 18:6	Renumber verse
PSA 18:8	PSA 18:7	Renumber verse
PSA 18:9	PSA 18:8	Renumber verse
PSA 19:1	PSA 19:title	Renumber title
PSA 19:10	PSA 19:9	Renumber verse
PSA 19:11	PSA 19:10	Renumber verse
PSA 19:12	PSA 19:11	Renumber verse
PSA 19:13	PSA 19:12	Renumber verse
PSA 19:14	PSA 19:13	Renumber verse
PSA 19:15	PSA 19:14	Renumber verse
PSA 19:2	PSA 19:1	Renumber verse
PSA 19:3	PSA 19:2	Renumber verse
PSA 19:4	PSA 19:3	Renumber verse
PSA 19:5	PSA 19:4	Renumber verse
PSA 19:6	PSA 19:5	Renumber verse
PSA 19:7	PSA 19:6	Renumber verse
PSA 19:8	PSA 19:7	Renumber verse
PSA 19:9	PSA 19:8	Renumber verse
PSA 20:1	PSA 20:title	Renumber title
PSA 20:10	PSA 20:9	Renumber verse
PSA 20:2	PSA 20:1	Renumber verse
PSA 20:3	PSA 20:2	Renumber verse
PSA 20:4	PSA 20:3	Renumber verse
PSA 20:5	PSA 20:4	Renumber verse
PSA 20:6	PSA 20:5	Renumber verse
PSA 20:7	PSA 20:6	Renumber verse
PSA 20:8	PSA 20:7	Renumber verse
PSA 20:9	PSA 20:8	Renumber verse
PSA 21:1	PSA 21:title	Renumber title
PSA 21:10	PSA 21:9	Renumber verse
PSA 21:11	PSA 21:10	Renumber verse
PSA 21:12	PSA 21:11	Renumber verse
PSA 21:13	PSA 21:12	Renumber verse
PSA 21:14	PSA 21:13	Renumber verse
PSA 21:2	PSA 21:1	Renumber verse
PSA 21:3	PSA 21:2	Renumber verse
PSA 21:4	PSA 21:3	Renumber verse
PSA 21:5	PSA 21:4	Renumber verse
PSA 21:6	PSA 21:5	Renumber verse
PSA 21:7	PSA 21:6	Renumber verse
PSA 21:8	PSA 21:7	Renumber verse
PSA 21:9	PSA 21:8	Renumber verse
PSA 22:1	PSA 22:title	Renumber title
PSA 22:10	PSA 22:9	Renumber verse
PSA 22:11	PSA 22:10	Renumber verse
PSA 22:12	PSA 22:11	Renumber verse
PSA 22:13	PSA 22:12	Renumber verse
PSA 22:14	PSA 22:13	Renumber verse
PSA 22:15	PSA 22:14	Renumber verse
PSA 22:16	PSA 22:15	Renumber verse
PSA 22:17	PSA 22:16	Renumber verse
PSA 22:18	PSA 22:17	Renumber verse
PSA 22:19	PSA 22:18	Renumber verse
PSA 22:2	PSA 22:1	Renumber verse
PSA 22:20	PSA 22:19	Renumber verse
PSA 22:21	PSA 22:20	Renumber verse
PSA 22:22	PSA 22:21	Renumber verse
PSA 22:23	PSA 22:22	Renumber verse
PSA 22:24	PSA 22:23	Renumber verse
PSA 22:25	PSA 22:24	Renumber verse
PSA 22:26	PSA 22:25	Renumber verse
PSA 22:27	PSA 22:26	Renumber verse
PSA 22:28	PSA 22:27	Renumber verse
PSA 22:29	PSA 22:28	Renumber verse
PSA 22:3	PSA 22:2	Renumber verse
PSA 22:30	PSA 22:29	Renumber verse
PSA 22:31	PSA 22:30	Renumber verse
PSA 22:32	PSA 22:31	Renumber verse
PSA 22:4	PSA 22:3	Renumber verse
PSA 22:5	PSA 22:4	Renumber verse
PSA 22:6	PSA 22:5	Renumber verse
PSA 22:7	PSA 22:6	Renumber verse
PSA 22:8	PSA 22:7	Renumber verse
PSA 22:9	PSA 22:8	Renumber verse
PSA 30:1	PSA 30:title	Renumber title
PSA 30:10	PSA 30:9	Renumber verse
PSA 30:11	PSA 30:10	Renumber verse
PSA 30:12	PSA 30:11	Renumber verse
PSA 30:13	PSA 30:12	Renumber verse
PSA 30:2	PSA 30:1	Renumber verse
PSA 30:3	PSA 30:2	Renumber verse
PSA 30:4	PSA 30:3	Renumber verse
PSA 30:5	PSA 30:4	Renumber verse
PSA 30:6	PSA 30:5	Renumber verse
PSA 30:7	PSA 30:6	Renumber verse
PSA 30:8	PSA 30:7	Renumber verse
PSA 30:9	PSA 30:8	Renumber verse
PSA 31:1	PSA 31:title	Renumber title
PSA 31:10	PSA 31:9	Renumber verse
PSA 31:11	PSA 31:10	Renumber verse
PSA 31:12	PSA 31:11	Renumber verse
PSA 31:13	PSA 31:12	Renumber verse
PSA 31:14	PSA 31:13	Renumber verse
PSA 31:15	PSA 31:14	Renumber verse
PSA 31:16	PSA 31:15	Renumber verse
PSA 31:17	PSA 31:16	Renumber verse
PSA 31:18	PSA 31:17	Renumber verse
PSA 31:19	PSA 31:18	Renumber verse
PSA 31:2	PSA 31:1	Renumber verse
PSA 31:20	PSA 31:19	Renumber verse
PSA 31:21	PSA 31:20	Renumber verse
PSA 31:22	PSA 31:21	Renumber verse
PSA 31:23	PSA 31:22	Renumber verse
PSA 31:24	PSA 31:23	Renumber verse
PSA 31:25	PSA 31:24	Renumber verse
PSA 31:3	PSA 31:2	Renumber verse
PSA 31:4	PSA 31:3	Renumber verse
PSA 31:5	PSA 31:4	Renumber verse
PSA 31:6	PSA 31:5	Renumber verse
PSA 31:7	PSA 31:6	Renumber verse
PSA 31:8	PSA 31:7	Renumber verse
PSA 31:9	PSA 31:8	Renumber verse
PSA 34:1	PSA 34:title	Renumber title
PSA 34:10	PSA 34:9	Renumber verse
PSA 34:11	PSA 34:10	Renumber verse
PSA 34:12	PSA 34:11	Renumber verse
PSA 34:13	PSA 34:12	Renumber verse
PSA 34:14	PSA 34:13	Renumber verse
PSA 34:15	PSA 34:14	Renumber verse
PSA 34:16	PSA 34:15	Renumber verse
PSA 34:17	PSA 34:16	Renumber verse
PSA 34:18	PSA 34:17	Renumber verse
