# hebrew versification -> KJV standard; single-verse diffs only (identity elsewhere). Source: STEPBible TVTMS (CC-BY). shoresh versification.build
source_ref	standard_ref	action
1KI 5:17	1KI 5:3	Renumber verse
1KI 5:18	1KI 5:4	Renumber verse
1KI 5:19	1KI 5:5	Renumber verse
1KI 5:2	1KI 4:22	Renumber verse
1KI 5:20	1KI 5:6	Renumber verse
1KI 5:21	1KI 5:7	Renumber verse
1KI 5:22	1KI 5:8	Renumber verse
1KI 5:23	1KI 5:9	Renumber verse
1KI 5:24	1KI 5:10	Renumber verse
1KI 5:25	1KI 5:11	Renumber verse
1KI 5:26	1KI 5:12	Renumber verse
1KI 5:27	1KI 5:13	Renumber verse
1KI 5:28	1KI 5:14	Renumber verse
1KI 5:29	1KI 5:15	Renumber verse
1KI 5:3	1KI 4:23	Renumber verse
1KI 5:30	1KI 5:16	Renumber verse
1KI 5:31	1KI 5:17	Renumber verse
1KI 5:32	1KI 5:18	Renumber verse
1KI 5:4	1KI 4:24	Renumber verse
1KI 5:5	1KI 4:25	Renumber verse
1KI 5:6	1KI 4:26	Renumber verse
1KI 5:7	1KI 4:27	Renumber verse
1KI 5:8	1KI 4:28	Renumber verse
1KI 5:9	1KI 4:29	Renumber verse
1SA 21:10	1SA 21:9	Renumber verse
1SA 21:11	1SA 21:10	Renumber verse
1SA 21:12	1SA 21:11	Renumber verse
1SA 21:13	1SA 21:12	Renumber verse
1SA 21:14	1SA 21:13	Renumber verse
1SA 21:15	1SA 21:14	Renumber verse
1SA 21:16	1SA 21:15	Renumber verse
1SA 21:2	1SA 21:1	Renumber verse
1SA 21:3	1SA 21:2	Renumber verse
1SA 21:4	1SA 21:3	Renumber verse
1SA 21:5	1SA 21:4	Renumber verse
1SA 21:6	1SA 21:5	Renumber verse
1SA 21:7	1SA 21:6	Renumber verse
1SA 21:8	1SA 21:7	Renumber verse
1SA 21:9	1SA 21:8	Renumber verse
1SA 24:1	1SA 23:29	Renumber verse
1SA 24:10	1SA 24:9	Renumber verse
1SA 24:11	1SA 24:10	Renumber verse
1SA 24:12	1SA 24:11	Renumber verse
1SA 24:13	1SA 24:12	Renumber verse
1SA 24:14	1SA 24:13	Renumber verse
1SA 24:15	1SA 24:14	Renumber verse
1SA 24:16	1SA 24:15	Renumber verse
1SA 24:17	1SA 24:16	Renumber verse
1SA 24:18	1SA 24:17	Renumber verse
1SA 24:19	1SA 24:18	Renumber verse
1SA 24:2	1SA 24:1	Renumber verse
1SA 24:20	1SA 24:19	Renumber verse
1SA 24:21	1SA 24:20	Renumber verse
1SA 24:22	1SA 24:21	Renumber verse
1SA 24:23	1SA 24:22	Renumber verse
1SA 24:3	1SA 24:2	Renumber verse
