# lxx versification -> KJV standard; single-verse diffs only (identity elsewhere). Source: STEPBible TVTMS (CC-BY). shoresh versification.build
source_ref	standard_ref	action
HAG 2:13	HAG 2:12	Renumber verse
HAG 2:14	HAG 2:13	Renumber verse
HAG 2:15	HAG 2:14	Renumber verse
HAG 2:16	HAG 2:15	Renumber verse
HAG 2:17	HAG 2:16	Renumber verse
HAG 2:18	HAG 2:17	Renumber verse
HAG 2:19	HAG 2:18	Renumber verse
HAG 2:20	HAG 2:19	Renumber verse
HAG 2:21	HAG 2:20	Renumber verse
HAG 2:22	HAG 2:21	Renumber verse
HAG 2:23	HAG 2:22	Renumber verse
HAG 2:24	HAG 2:23	Renumber verse
HAG 2:8	HAG 2:7	Renumber verse
HAG 2:9	HAG 2:8	Renumber verse
HOS 12:1	HOS 11:12	Renumber verse
HOS 12:10	HOS 12:9	Renumber verse
HOS 12:11	HOS 12:10	Renumber verse
HOS 12:12	HOS 12:11	Renumber verse
HOS 12:13	HOS 12:12	Renumber verse
HOS 12:14	HOS 12:13	Renumber verse
HOS 12:15	HOS 12:14	Renumber verse
HOS 12:2	HOS 12:1	Renumber verse
HOS 12:3	HOS 12:2	Renumber verse
HOS 12:4	HOS 12:3	Renumber verse
HOS 12:5	HOS 12:4	Renumber verse
HOS 12:6	HOS 12:5	Renumber verse
HOS 12:7	HOS 12:6	Renumber verse
HOS 12:8	HOS 12:7	Renumber verse
HOS 12:9	HOS 12:8	Renumber verse
HOS 14:1	HOS 13:16	Renumber verse
HOS 14:10	HOS 14:9	Renumber verse
HOS 14:2	HOS 14:1	Renumber verse
HOS 14:3	HOS 14:2	Renumber verse
HOS 14:4	HOS 14:3	Renumber verse
HOS 14:5	HOS 14:4	Renumber verse
HOS 14:6	HOS 14:5	Renumber verse
HOS 14:7	HOS 14:6	Renumber verse
HOS 14:8	HOS 14:7	Renumber verse
HOS 14:9	HOS 14:8	Renumber verse
HOS 2:1	HOS 1:10	Renumber verse
HOS 2:10	HOS 2:8	Renumber verse
HOS 2:11	HOS 2:9	Renumber verse
HOS 2:12	HOS 2:10	Renumber verse
HOS 2:13	HOS 2:11	Renumber verse
HOS 2:14	HOS 2:12	Renumber verse
HOS 2:15	HOS 2:13	Renumber verse
HOS 2:16	HOS 2:14	Renumber verse
HOS 2:17	HOS 2:15	Renumber verse
HOS 2:18	HOS 2:16	Renumber verse
HOS 2:19	HOS 2:17	Renumber verse
HOS 2:2	HOS 1:11	Renumber verse
HOS 2:20	HOS 2:18	Renumber verse
HOS 2:21	HOS 2:19	Renumber verse
HOS 2:22	HOS 2:20	Renumber verse
HOS 2:23	HOS 2:21	Renumber verse
HOS 2:24	HOS 2:22	Renumber verse
HOS 2:25	HOS 2:23	Renumber verse
HOS 2:3	HOS 2:1	Renumber verse
HOS 2:4	HOS 2:2	Renumber verse
HOS 2:5	HOS 2:3	Renumber verse
HOS 2:6	HOS 2:4	Renumber verse
HOS 2:7	HOS 2:5	Renumber verse
HOS 2:8	HOS 2:6	Renumber verse
HOS 2:9	HOS 2:7	Renumber verse
HOS 6:10	HOS 6:9	Renumber verse
HOS 6:11	HOS 6:10	Renumber verse
HOS 6:12	HOS 6:11	Renumber verse
HOS 6:3	HOS 6:2	Renumber verse
HOS 6:4	HOS 6:3	Renumber verse
HOS 6:5	HOS 6:4	Renumber verse
HOS 6:6	HOS 6:5	Renumber verse
HOS 6:7	HOS 6:6	Renumber verse
HOS 6:8	HOS 6:7	Renumber verse
HOS 6:9	HOS 6:8	Renumber verse
ISA 64:1	ISA 64:2	Renumber verse
ISA 64:10	ISA 64:11	Renumber verse
ISA 64:11	ISA 64:12	Renumber verse
ISA 64:2	ISA 64:3	Renumber verse
ISA 64:3	ISA 64:4	Renumber verse
ISA 64:4	ISA 64:5	Renumber verse
ISA 64:5	ISA 64:6	Renumber verse
ISA 64:6	ISA 64:7	Renumber verse
ISA 64:7	ISA 64:8	Renumber verse
ISA 64:8	ISA 64:9	Renumber verse
ISA 64:9	ISA 64:10	Renumber verse
ISA 8:23	ISA 9:1	Renumber verse
ISA 9:1	ISA 9:2	Renumber verse
ISA 9:10	ISA 9:11	Renumber verse
ISA 9:11	ISA 9:12	Renumber verse
ISA 9:12	ISA 9:13	Renumber verse
ISA 9:13	ISA 9:14	Renumber verse
ISA 9:14	ISA 9:15	Renumber verse
ISA 9:15	ISA 9:16	Renumber verse
ISA 9:16	ISA 9:17	Renumber verse
ISA 9:17	ISA 9:18	Renumber verse
ISA 9:18	ISA 9:19	Renumber verse
ISA 9:19	ISA 9:20	Renumber verse
ISA 9:2	ISA 9:3	Renumber verse
ISA 9:20	ISA 9:21	Renumber verse
ISA 9:3	ISA 9:4	Renumber verse
ISA 9:4	ISA 9:5	Renumber verse
ISA 9:5	ISA 9:6	Renumber verse
ISA 9:6	ISA 9:7	Renumber verse
ISA 9:7	ISA 9:8	Renumber verse
ISA 9:8	ISA 9:9	Renumber verse
ISA 9:9	ISA 9:10	Renumber verse
JDT 16:1	JDT 16:2	Renumber verse
JDT 16:2	JDT 16:3	Renumber verse
JDT 16:3	JDT 16:4	Renumber verse
JDT 16:4	JDT 16:5	Renumber verse
JDT 16:5	JDT 16:6	Renumber verse
JDT 16:6	JDT 16:7	Renumber verse
JER 25:14	JER 49:34	Renumber verse*
JER 25:15	JER 49:35	Renumber verse*
JER 25:16	JER 49:36	Renumber verse*
JER 25:17	JER 49:37	Renumber verse*
JER 25:18	JER 49:38	Renumber verse*
JER 25:19	JER 49:39	Renumber verse*
JER 25:34	JER 49:34	Renumber verse*
JER 25:35	JER 49:35	Renumber verse*
JER 25:36	JER 49:36	Renumber verse*
JER 25:37	JER 49:37	Renumber verse*
JER 25:38	JER 49:38	Renumber verse*
JER 25:39	JER 49:39	Renumber verse*
JER 26:1	JER 46:1	Renumber verse*
JER 26:10	JER 46:10	Renumber verse*
JER 26:11	JER 46:11	Renumber verse*
JER 26:12	JER 46:12	Renumber verse*
JER 26:13	JER 46:13	Renumber verse*
JER 26:14	JER 46:14	Renumber verse*
JER 26:15	JER 46:15	Renumber verse*
JER 26:16	JER 46:16	Renumber verse*
JER 26:17	JER 46:17	Renumber verse*
JER 26:18	JER 46:18	Renumber verse*
JER 26:19	JER 46:19	Renumber verse*
JER 26:2	JER 46:2	Renumber verse*
JER 26:20	JER 46:20	Renumber verse*
JER 26:21	JER 46:21	Renumber verse*
JER 26:22	JER 46:22	Renumber verse*
JER 26:23	JER 46:23	Renumber verse*
JER 26:24	JER 46:24	Renumber verse*
JER 26:25	JER 46:25	Renumber verse*
JER 26:26	JER 46:26	Renumber verse*
JER 26:27	JER 46:27	Renumber verse*
JER 26:28	JER 46:28	Renumber verse*
JER 26:3	JER 46:3	Renumber verse*
JER 26:4	JER 46:4	Renumber verse*
JER 26:5	JER 46:5	Renumber verse*
JER 26:6	JER 46:6	Renumber verse*
JER 26:7	JER 46:7	Renumber verse*
JER 26:8	JER 46:8	Renumber verse*
JER 26:9	JER 46:9	Renumber verse*
JER 27:1	JER 50:1	Renumber verse*
JER 27:10	JER 50:10	Renumber verse*
JER 27:11	JER 50:11	Renumber verse*
JER 27:12	JER 50:12	Renumber verse*
JER 27:13	JER 50:13	Renumber verse*
JER 27:14	JER 50:14	Renumber verse*
JER 27:15	JER 50:15	Renumber verse*
JER 27:16	JER 50:16	Renumber verse*
JER 27:17	JER 50:17	Renumber verse*
JER 27:18	JER 50:18	Renumber verse*
JER 27:19	JER 50:19	Renumber verse*
JER 27:2	JER 50:2	Renumber verse*
JER 27:20	JER 50:20	Renumber verse*
JER 27:21	JER 50:21	Renumber verse*
JER 27:22	JER 50:22	Renumber verse*
JER 27:23	JER 50:23	Renumber verse*
JER 27:24	JER 50:24	Renumber verse*
JER 27:25	JER 50:25	Renumber verse*
JER 27:26	JER 50:26	Renumber verse*
JER 27:27	JER 50:27	Renumber verse*
JER 27:28	JER 50:28	Renumber verse*
JER 27:29	JER 50:29	Renumber verse*
JER 27:3	JER 50:3	Renumber verse*
JER 27:30	JER 50:30	Renumber verse*
JER 27:31	JER 50:31	Renumber verse*
JER 27:32	JER 50:32	Renumber verse*
JER 27:33	JER 50:33	Renumber verse*
JER 27:34	JER 50:34	Renumber verse*
JER 27:35	JER 50:35	Renumber verse*
JER 27:36	JER 50:36	Renumber verse*
JER 27:37	JER 50:37	Renumber verse*
JER 27:38	JER 50:38	Renumber verse*
JER 27:39	JER 50:39	Renumber verse*
JER 27:4	JER 50:4	Renumber verse*
JER 27:40	JER 50:40	Renumber verse*
JER 27:41	JER 50:41	Renumber verse*
JER 27:42	JER 50:42	Renumber verse*
JER 27:43	JER 50:43	Renumber verse*
JER 27:44	JER 50:44	Renumber verse*
JER 27:45	JER 50:45	Renumber verse*
JER 27:46	JER 50:46	Renumber verse*
JER 27:5	JER 50:5	Renumber verse*
JER 27:6	JER 50:6	Renumber verse*
JER 27:7	JER 50:7	Renumber verse*
JER 27:8	JER 50:8	Renumber verse*
JER 27:9	JER 50:9	Renumber verse*
JER 28:1	JER 51:1	Renumber verse*
JER 28:10	JER 51:10	Renumber verse*
JER 28:11	JER 51:11	Renumber verse*
JER 28:12	JER 51:12	Renumber verse*
JER 28:13	JER 51:13	Renumber verse*
JER 28:14	JER 51:14	Renumber verse*
JER 28:15	JER 51:15	Renumber verse*
JER 28:16	JER 51:16	Renumber verse*
JER 28:17	JER 51:17	Renumber verse*
JER 28:18	JER 51:18	Renumber verse*
JER 28:19	JER 51:19	Renumber verse*
JER 28:2	JER 51:2	Renumber verse*
JER 28:20	JER 51:20	Renumber verse*
JER 28:21	JER 51:21	Renumber verse*
JER 28:22	JER 51:22	Renumber verse*
JER 28:23	JER 51:23	Renumber verse*
JER 28:24	JER 51:24	Renumber verse*
JER 28:25	JER 51:25	Renumber verse*
JER 28:26	JER 51:26	Renumber verse*
JER 28:27	JER 51:27	Renumber verse*
JER 28:28	JER 51:28	Renumber verse*
JER 28:29	JER 51:29	Renumber verse*
JER 28:3	JER 51:3	Renumber verse*
JER 28:30	JER 51:30	Renumber verse*
JER 28:31	JER 51:31	Renumber verse*
JER 28:32	JER 51:32	Renumber verse*
JER 28:33	JER 51:33	Renumber verse*
JER 28:34	JER 51:34	Renumber verse*
JER 28:35	JER 51:35	Renumber verse*
JER 28:36	JER 51:36	Renumber verse*
JER 28:37	JER 51:37	Renumber verse*
JER 28:38	JER 51:38	Renumber verse*
JER 28:39	JER 51:39	Renumber verse*
JER 28:4	JER 51:4	Renumber verse*
JER 28:40	JER 51:40	Renumber verse*
JER 28:41	JER 51:41	Renumber verse*
JER 28:42	JER 51:42	Renumber verse*
JER 28:43	JER 51:43	Renumber verse*
JER 28:44	JER 51:44	Renumber verse*
JER 28:45	JER 51:45	Renumber verse*
JER 28:46	JER 51:46	Renumber verse*
JER 28:47	JER 51:47	Renumber verse*
JER 28:48	JER 51:48	Renumber verse*
JER 28:49	JER 51:49	Renumber verse*
JER 28:5	JER 51:5	Renumber verse*
JER 28:50	JER 51:50	Renumber verse*
JER 28:51	JER 51:51	Renumber verse*
JER 28:52	JER 51:52	Renumber verse*
JER 28:53	JER 51:53	Renumber verse*
JER 28:54	JER 51:54	Renumber verse*
JER 28:55	JER 51:55	Renumber verse*
JER 28:56	JER 51:56	Renumber verse*
JER 28:57	JER 51:57	Renumber verse*
JER 28:58	JER 51:58	Renumber verse*
JER 28:59	JER 51:59	Renumber verse*
JER 28:6	JER 51:6	Renumber verse*
JER 28:60	JER 51:60	Renumber verse*
JER 28:61	JER 51:61	Renumber verse*
JER 28:62	JER 51:62	Renumber verse*
JER 28:63	JER 51:63	Renumber verse*
JER 28:64	JER 51:64	Renumber verse*
JER 28:7	JER 51:7	Renumber verse*
JER 28:8	JER 51:8	Renumber verse*
JER 28:9	JER 51:9	Renumber verse*
JER 29:1	JER 47:1	Renumber verse*
JER 29:10	JER 49:9	Renumber verse*
JER 29:10	JER 49:10	Renumber verse*
JER 29:11	JER 49:10	Renumber verse*
JER 29:11	JER 49:11	Renumber verse*
JER 29:12	JER 49:11	Renumber verse*
JER 29:12	JER 49:12	Renumber verse*
JER 29:13	JER 49:12	Renumber verse*
JER 29:13	JER 49:13	Renumber verse*
JER 29:14	JER 49:13	Renumber verse*
JER 29:14	JER 49:14	Renumber verse*
JER 29:15	JER 49:14	Renumber verse*
JER 29:15	JER 49:15	Renumber verse*
JER 29:16	JER 49:15	Renumber verse*
JER 29:16	JER 49:16	Renumber verse*
JER 29:17	JER 49:16	Renumber verse*
JER 29:17	JER 49:17	Renumber verse*
JER 29:18	JER 49:17	Renumber verse*
JER 29:18	JER 49:18	Renumber verse*
JER 29:19	JER 49:18	Renumber verse*
JER 29:19	JER 49:19	Renumber verse*
JER 29:2	JER 47:2	Renumber verse*
JER 29:20	JER 49:19	Renumber verse*
JER 29:20	JER 49:20	Renumber verse*
JER 29:21	JER 49:20	Renumber verse*
JER 29:21	JER 49:21	Renumber verse*
JER 29:22	JER 49:21	Renumber verse*
JER 29:22	JER 49:22	Renumber verse*
JER 29:23	JER 49:22	Renumber verse*
JER 29:3	JER 47:3	Renumber verse*
JER 29:4	JER 47:4	Renumber verse*
JER 29:5	JER 47:5	Renumber verse*
JER 29:6	JER 47:6	Renumber verse*
JER 29:7	JER 47:7	Renumber verse*
JER 29:7	JER 49:7	Renumber verse*
JER 29:8	JER 49:7	Renumber verse*
JER 29:8	JER 49:8	Renumber verse*
JER 29:9	JER 49:8	Renumber verse*
JER 29:9	JER 49:9	Renumber verse*
JER 30:1	JER 49:1	Renumber verse*
JER 30:10	JER 49:32	Renumber verse*
JER 30:11	JER 49:33	Renumber verse*
JER 30:12	JER 49:23	Renumber verse*
JER 30:13	JER 49:24	Renumber verse*
JER 30:14	JER 49:25	Renumber verse*
JER 30:15	JER 49:26	Renumber verse*
JER 30:16	JER 49:27	Renumber verse*
JER 30:17	JER 49:1	Renumber verse*
JER 30:18	JER 49:2	Renumber verse*
JER 30:19	JER 49:3	Renumber verse*
JER 30:2	JER 49:2	Renumber verse*
JER 30:20	JER 49:4	Renumber verse*
JER 30:21	JER 49:5	Renumber verse*
JER 30:22	JER 49:6	IfEmpty verse
JER 30:23	JER 49:23	Renumber verse*
JER 30:24	JER 49:24	Renumber verse*
JER 30:25	JER 49:25	Renumber verse*
JER 30:26	JER 49:26	Renumber verse*
JER 30:27	JER 49:27	Renumber verse*
JER 30:28	JER 49:28	Renumber verse*
JER 30:29	JER 49:29	Renumber verse*
JER 30:3	JER 49:3	Renumber verse*
JER 30:30	JER 49:30	Renumber verse*
JER 30:31	JER 49:31	Renumber verse*
JER 30:32	JER 49:32	Renumber verse*
JER 30:33	JER 49:33	Renumber verse*
JER 30:4	JER 49:4	Renumber verse*
JER 30:5	JER 49:5	Renumber verse*
JER 30:6	JER 49:28	Renumber verse*
JER 30:6	JER 49:6	IfEmpty verse*
JER 30:7	JER 49:29	Renumber verse*
JER 30:8	JER 49:30	Renumber verse*
JER 30:9	JER 49:31	Renumber verse*
JER 31:1	JER 48:1	Renumber verse*
JER 31:10	JER 48:10	Renumber verse*
JER 31:11	JER 48:11	Renumber verse*
JER 31:12	JER 48:12	Renumber verse*
JER 31:13	JER 48:13	Renumber verse*
JER 31:14	JER 48:14	Renumber verse*
JER 31:15	JER 48:15	Renumber verse*
JER 31:16	JER 48:16	Renumber verse*
JER 31:17	JER 48:17	Renumber verse*
JER 31:18	JER 48:18	Renumber verse*
JER 31:19	JER 48:19	Renumber verse*
JER 31:2	JER 48:2	Renumber verse*
JER 31:20	JER 48:20	Renumber verse*
JER 31:21	JER 48:21	Renumber verse*
JER 31:22	JER 48:22	Renumber verse*
JER 31:23	JER 48:23	Renumber verse*
JER 31:24	JER 48:24	Renumber verse*
JER 31:25	JER 48:25	Renumber verse*
JER 31:26	JER 48:26	Renumber verse*
JER 31:27	JER 48:27	Renumber verse*
JER 31:28	JER 48:28	Renumber verse*
JER 31:29	JER 48:29	Renumber verse*
JER 31:3	JER 48:3	Renumber verse*
JER 31:30	JER 48:30	Renumber verse*
JER 31:31	JER 48:31	Renumber verse*
JER 31:32	JER 48:32	Renumber verse*
JER 31:33	JER 48:33	Renumber verse*
JER 31:34	JER 48:34	Renumber verse*
JER 31:35	JER 48:35	Renumber verse*
JER 31:36	JER 48:36	Renumber verse*
JER 31:37	JER 48:37	Renumber verse*
JER 31:38	JER 48:38	Renumber verse*
JER 31:39	JER 48:39	Renumber verse*
JER 31:4	JER 48:4	Renumber verse*
JER 31:40	JER 48:40	Renumber verse*
JER 31:41	JER 48:41	Renumber verse*
JER 31:42	JER 48:42	Renumber verse*
JER 31:43	JER 48:43	Renumber verse*
JER 31:44	JER 48:44	Renumber verse*
JER 31:5	JER 48:5	Renumber verse*
JER 31:6	JER 48:6	Renumber verse*
JER 31:7	JER 48:7	Renumber verse*
JER 31:8	JER 48:8	Renumber verse*
JER 31:9	JER 48:9	Renumber verse*
JER 32:1	JER 25:15	Renumber verse*
JER 32:10	JER 25:24	Renumber verse*
JER 32:11	JER 25:25	Renumber verse*
JER 32:12	JER 25:26	Renumber verse*
JER 32:13	JER 25:27	Renumber verse*
JER 32:14	JER 25:28	Renumber verse*
JER 32:15	JER 25:29	Renumber verse*
JER 32:15	JER 25:15	Renumber verse*
JER 32:16	JER 25:30	Renumber verse*
JER 32:16	JER 25:16	Renumber verse*
JER 32:17	JER 25:31	Renumber verse*
JER 32:17	JER 25:17	Renumber verse*
JER 32:18	JER 25:32	Renumber verse*
JER 32:18	JER 25:18	Renumber verse*
JER 32:19	JER 25:33	Renumber verse*
JER 32:19	JER 25:19	Renumber verse*
JER 32:2	JER 25:16	Renumber verse*
JER 32:20	JER 25:34	Renumber verse*
JER 32:20	JER 25:20	Renumber verse*
JER 32:21	JER 25:35	Renumber verse*
JER 32:21	JER 25:21	Renumber verse*
JER 32:22	JER 25:36	Renumber verse*
JER 32:22	JER 25:22	Renumber verse*
JER 32:23	JER 25:37	Renumber verse*
JER 32:23	JER 25:23	Renumber verse*
JER 32:24	JER 25:38	Renumber verse*
JER 32:24	JER 25:24	Renumber verse*
JER 32:25	JER 25:25	Renumber verse*
JER 32:26	JER 25:26	Renumber verse*
JER 32:27	JER 25:27	Renumber verse*
JER 32:28	JER 25:28	Renumber verse*
JER 32:29	JER 25:29	Renumber verse*
JER 32:3	JER 25:17	Renumber verse*
JER 32:30	JER 25:30	Renumber verse*
JER 32:31	JER 25:31	Renumber verse*
JER 32:32	JER 25:32	Renumber verse*
JER 32:33	JER 25:33	Renumber verse*
JER 32:34	JER 25:34	Renumber verse*
JER 32:35	JER 25:35	Renumber verse*
JER 32:36	JER 25:36	Renumber verse*
JER 32:37	JER 25:37	Renumber verse*
JER 32:38	JER 25:38	Renumber verse*
JER 32:4	JER 25:18	Renumber verse*
JER 32:5	JER 25:19	Renumber verse*
JER 32:6	JER 25:20	Renumber verse*
JER 32:7	JER 25:21	Renumber verse*
JER 32:8	JER 25:22	Renumber verse*
JER 32:9	JER 25:23	Renumber verse*
JER 33:1	JER 26:1	Renumber verse*
JER 33:10	JER 26:10	Renumber verse*
JER 33:11	JER 26:11	Renumber verse*
JER 33:12	JER 26:12	Renumber verse*
JER 33:13	JER 26:13	Renumber verse*
JER 33:14	JER 26:14	Renumber verse*
JER 33:15	JER 26:15	Renumber verse*
JER 33:16	JER 26:16	Renumber verse*
JER 33:17	JER 26:17	Renumber verse*
JER 33:18	JER 26:18	Renumber verse*
JER 33:19	JER 26:19	Renumber verse*
JER 33:2	JER 26:2	Renumber verse*
JER 33:20	JER 26:20	Renumber verse*
JER 33:21	JER 26:21	Renumber verse*
JER 33:22	JER 26:22	Renumber verse*
JER 33:23	JER 26:23	Renumber verse*
JER 33:24	JER 26:24	Renumber verse*
JER 33:3	JER 26:3	Renumber verse*
JER 33:4	JER 26:4	Renumber verse*
JER 33:5	JER 26:5	Renumber verse*
JER 33:6	JER 26:6	Renumber verse*
JER 33:7	JER 26:7	Renumber verse*
JER 33:8	JER 26:8	Renumber verse*
JER 33:9	JER 26:9	Renumber verse*
JER 34:1	JER 27:2	Renumber verse*
JER 34:1	JER 27:1	Renumber verse*
JER 34:10	JER 27:12	Renumber verse*
JER 34:10	JER 27:10	Renumber verse*
JER 34:11	JER 27:14	Renumber verse*
JER 34:11	JER 27:11	Renumber verse*
JER 34:12	JER 27:15	Renumber verse*
JER 34:12	JER 27:12	Renumber verse*
JER 34:13	JER 27:16	Renumber verse*
JER 34:13	JER 27:13	Renumber verse*
JER 34:14	JER 27:17	Renumber verse*
JER 34:14	JER 27:14	Renumber verse*
JER 34:15	JER 27:18	Renumber verse*
JER 34:15	JER 27:15	Renumber verse*
JER 34:16	JER 27:19	Renumber verse*
JER 34:16	JER 27:16	Renumber verse*
JER 34:17	JER 27:20	Renumber verse*
JER 34:17	JER 27:17	Renumber verse*
JER 34:18	JER 27:22	Renumber verse*
JER 34:18	JER 27:18	Renumber verse*
JER 34:19	JER 27:19	Renumber verse*
JER 34:2	JER 27:3	Renumber verse*
JER 34:2	JER 27:2	Renumber verse*
JER 34:20	JER 27:20	Renumber verse*
JER 34:21	JER 27:21	Renumber verse*
JER 34:22	JER 27:22	Renumber verse*
JER 34:3	JER 27:4	Renumber verse*
JER 34:3	JER 27:3	Renumber verse*
JER 34:4	JER 27:5	Renumber verse*
JER 34:4	JER 27:4	Renumber verse*
JER 34:5	JER 27:6	Renumber verse*
JER 34:5	JER 27:5	Renumber verse*
JER 34:6	JER 27:8	Renumber verse*
JER 34:6	JER 27:6	Renumber verse*
JER 34:7	JER 27:9	Renumber verse*
JER 34:7	JER 27:7	Renumber verse*
JER 34:8	JER 27:10	Renumber verse*
JER 34:8	JER 27:8	Renumber verse*
JER 34:9	JER 27:11	Renumber verse*
JER 34:9	JER 27:9	Renumber verse*
JER 35:1	JER 28:1	Renumber verse*
JER 35:10	JER 28:10	Renumber verse*
JER 35:11	JER 28:11	Renumber verse*
JER 35:12	JER 28:12	Renumber verse*
JER 35:13	JER 28:13	Renumber verse*
JER 35:14	JER 28:14	Renumber verse*
JER 35:15	JER 28:15	Renumber verse*
JER 35:16	JER 28:16	Renumber verse*
JER 35:17	JER 28:17	Renumber verse*
JER 35:2	JER 28:2	Renumber verse*
JER 35:3	JER 28:3	Renumber verse*
JER 35:4	JER 28:4	Renumber verse*
JER 35:5	JER 28:5	Renumber verse*
JER 35:6	JER 28:6	Renumber verse*
JER 35:7	JER 28:7	Renumber verse*
JER 35:8	JER 28:8	Renumber verse*
JER 35:9	JER 28:9	Renumber verse*
JER 36:1	JER 29:1	Renumber verse*
JER 36:10	JER 29:10	Renumber verse*
JER 36:11	JER 29:11	Renumber verse*
JER 36:12	JER 29:12	Renumber verse*
JER 36:13	JER 29:13	Renumber verse*
JER 36:14	JER 29:14	Renumber verse*
JER 36:15	JER 29:15	Renumber verse*
JER 36:16	JER 29:16	Renumber verse*
JER 36:17	JER 29:17	Renumber verse*
JER 36:18	JER 29:18	Renumber verse*
JER 36:19	JER 29:19	Renumber verse*
JER 36:2	JER 29:2	Renumber verse*
JER 36:20	JER 29:20	Renumber verse*
JER 36:21	JER 29:21	Renumber verse*
JER 36:22	JER 29:22	Renumber verse*
JER 36:23	JER 29:23	Renumber verse*
JER 36:24	JER 29:24	Renumber verse*
JER 36:25	JER 29:25	Renumber verse*
JER 36:26	JER 29:26	Renumber verse*
JER 36:27	JER 29:27	Renumber verse*
JER 36:28	JER 29:28	Renumber verse*
JER 36:29	JER 29:29	Renumber verse*
JER 36:3	JER 29:3	Renumber verse*
JER 36:30	JER 29:30	Renumber verse*
JER 36:31	JER 29:31	Renumber verse*
JER 36:32	JER 29:32	Renumber verse*
JER 36:4	JER 29:4	Renumber verse*
JER 36:5	JER 29:5	Renumber verse*
JER 36:6	JER 29:6	Renumber verse*
JER 36:7	JER 29:7	Renumber verse*
JER 36:8	JER 29:8	Renumber verse*
JER 36:9	JER 29:9	Renumber verse*
JER 37:1	JER 30:1	Renumber verse*
JER 37:10	JER 30:10	Renumber verse*
JER 37:11	JER 30:11	Renumber verse*
JER 37:12	JER 30:12	Renumber verse*
JER 37:13	JER 30:13	Renumber verse*
JER 37:14	JER 30:14	Renumber verse*
JER 37:15	JER 30:15	Renumber verse*
JER 37:16	JER 30:16	Renumber verse*
JER 37:17	JER 30:17	Renumber verse*
JER 37:18	JER 30:18	Renumber verse*
JER 37:19	JER 30:19	Renumber verse*
JER 37:2	JER 30:2	Renumber verse*
JER 37:20	JER 30:20	Renumber verse*
JER 37:21	JER 30:21	Renumber verse*
JER 37:22	JER 30:22	Renumber verse*
JER 37:23	JER 30:23	Renumber verse*
JER 37:24	JER 30:24	Renumber verse*
JER 37:3	JER 30:3	Renumber verse*
JER 37:4	JER 30:4	Renumber verse*
JER 37:5	JER 30:5	Renumber verse*
JER 37:6	JER 30:6	Renumber verse*
JER 37:7	JER 30:7	Renumber verse*
JER 37:8	JER 30:8	Renumber verse*
JER 37:9	JER 30:9	Renumber verse*
JER 38:1	JER 31:1	Renumber verse*
JER 38:10	JER 31:10	Renumber verse*
JER 38:11	JER 31:11	Renumber verse*
JER 38:12	JER 31:12	Renumber verse*
JER 38:13	JER 31:13	Renumber verse*
JER 38:14	JER 31:14	Renumber verse*
JER 38:15	JER 31:15	Renumber verse*
JER 38:16	JER 31:16	Renumber verse*
JER 38:17	JER 31:17	Renumber verse*
JER 38:18	JER 31:18	Renumber verse*
JER 38:19	JER 31:19	Renumber verse*
JER 38:2	JER 31:2	Renumber verse*
JER 38:20	JER 31:20	Renumber verse*
JER 38:21	JER 31:21	Renumber verse*
JER 38:22	JER 31:22	Renumber verse*
JER 38:23	JER 31:23	Renumber verse*
JER 38:24	JER 31:24	Renumber verse*
JER 38:25	JER 31:25	Renumber verse*
JER 38:26	JER 31:26	Renumber verse*
JER 38:27	JER 31:27	Renumber verse*
JER 38:28	JER 31:28	Renumber verse*
JER 38:29	JER 31:29	Renumber verse*
JER 38:3	JER 31:3	Renumber verse*
JER 38:30	JER 31:30	Renumber verse*
JER 38:31	JER 31:31	Renumber verse*
JER 38:32	JER 31:32	Renumber verse*
JER 38:33	JER 31:33	Renumber verse*
JER 38:34	JER 31:34	Renumber verse*
JER 38:35	JER 31:37	Renumber verse*
JER 38:35	JER 31:35	Renumber verse*
JER 38:36	JER 31:35	Renumber verse*
JER 38:36	JER 31:36	Renumber verse*
JER 38:37	JER 31:36	Renumber verse*
JER 38:37	JER 31:37	Renumber verse*
JER 38:38	JER 31:38	Renumber verse*
JER 38:39	JER 31:39	Renumber verse*
JER 38:4	JER 31:4	Renumber verse*
JER 38:40	JER 31:40	Renumber verse*
JER 38:5	JER 31:5	Renumber verse*
JER 38:6	JER 31:6	Renumber verse*
JER 38:7	JER 31:7	Renumber verse*
JER 38:8	JER 31:8	Renumber verse*
JER 38:9	JER 31:9	Renumber verse*
JER 39:1	JER 32:1	Renumber verse*
JER 39:10	JER 32:10	Renumber verse*
JER 39:11	JER 32:11	Renumber verse*
JER 39:12	JER 32:12	Renumber verse*
JER 39:13	JER 32:13	Renumber verse*
JER 39:14	JER 32:14	Renumber verse*
JER 39:15	JER 32:15	Renumber verse*
JER 39:16	JER 32:16	Renumber verse*
JER 39:17	JER 32:17	Renumber verse*
JER 39:18	JER 32:18	Renumber verse*
JER 39:19	JER 32:19	Renumber verse*
JER 39:2	JER 32:2	Renumber verse*
JER 39:20	JER 32:20	Renumber verse*
JER 39:21	JER 32:21	Renumber verse*
JER 39:22	JER 32:22	Renumber verse*
JER 39:23	JER 32:23	Renumber verse*
JER 39:24	JER 32:24	Renumber verse*
JER 39:25	JER 32:25	Renumber verse*
JER 39:26	JER 32:26	Renumber verse*
JER 39:27	JER 32:27	Renumber verse*
